Common Name,Scientific Name,English Common Name,Category,Da Shue Shan,Endemic,Race
黃胸藪眉,Liocichla steerii,Steere's Liocichla,species,1,endemic species,1
大陸畫眉,Garrulax canorus,Chinese Hwamei,species,1,,1
台灣畫眉,Garrulax taewanus,Taiwan Hwamei,species,1,endemic species,1
黑喉噪眉,Pterorhinus chinensis,Black-throated Laughingthrush,species,,,
白頰噪眉,Pterorhinus sannio,White-browed Laughingthrush,species,,,
黑臉噪眉,Pterorhinus perspicillatus,Masked Laughingthrush,species,,,
台灣白喉噪眉,Pterorhinus ruficeps,Rufous-crowned Laughingthrush,species,1,endemic species,1
棕噪眉,Pterorhinus poecilorhynchus,Rusty Laughingthrush,species,1,endemic species,1
戴菊鳥,Regulus regulus,Goldcrest,species,,,
火冠戴菊鳥,Regulus goodfellowi,Flamecrest,species,1,endemic species,1
茶腹?,Sitta europaea,Eurasian Nuthatch,species,1,endemic subspecies,1
鷦鷯,Troglodytes troglodytes,Eurasian Wren,species,1,endemic subspecies,1
河烏,Cinclus pallasii,Brown Dipper,species,1,,1
輝椋鳥,Aplonis panayensis,Asian Glossy Starling,species,1,,1
九官鳥,Gracula religiosa,Common Hill Myna,species,,,
歐洲椋鳥,Sturnus vulgaris,European Starling,species,,,
粉紅椋鳥,Pastor roseus,Rosy Starling,species,,,
北椋鳥,Agropsar sturninus,Daurian Starling,species,,,
小椋鳥,Agropsar philippensis,Chestnut-cheeked Starling,species,,,
黑領椋鳥,Gracupica nigricollis,Black-collared Starling,species,1,,1
斑椋鳥,Gracupica contra,Asian Pied Starling,species,,,
灰背椋鳥,Sturnia sinensis,White-shouldered Starling,species,,,
黑冠椋鳥,Sturnia pagodarum,Brahminy Starling,species,,,
灰頭椋鳥,Sturnia malabarica,Chestnut-tailed Starling,species,1,,
絲光椋鳥,Spodiopsar sericeus,Red-billed Starling,species,,,
灰椋鳥,Spodiopsar cineraceus,White-cheeked Starling,species,,,
家八哥,Acridotheres tristis,Common Myna,species,1,,1
岸八哥,Acridotheres ginginianus,Bank Myna,species,,,
葡萄胸椋鳥,Acridotheres burmannicus,Vinous-breasted Starling,species,,,
林八哥,Acridotheres fuscus,Jungle Myna,species,,,
白尾八哥,Acridotheres javanicus,Javan Myna,species,1,,1
大八哥(叢八哥),Acridotheres grandis,Great Myna,species,,,
